mode,pattern,injection_rate,offered_load,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,average_link_utilization,adaptive_hops,escape_hops,escape_transitions,escape_hop_fraction,sim_ticks,sim_freq
torus3d_dor,uniform_random,0.96,0.48,307200.0,306759.0,306439.0,0.998564453125,0.9989568358222579,0.4788109375,2.0003,10.209275,12.209575,2.997833,153.2482,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.98,0.49,313600.0,313150.0,312825.0,0.9985650510204082,0.9989621587098835,0.4887890625,2.000678,10.276369,12.277046,2.997299,156.4203,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,1.0,0.5,320000.0,319599.0,319249.0,0.998746875,0.9989048776748363,0.4988265625,2.002468,10.340433,12.342902,2.998844,159.6918,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_adaptive_escape,uniform_random,0.02,0.01,6400.0,6387.0,6382.0,0.99796875,0.9992171598559574,0.009971875,2.0,9.051238,11.051238,3.015826,3.2027,19257.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_adaptive_escape,uniform_random,0.04,0.02,12800.0,12618.0,12600.0,0.98578125,0.9985734664764622,0.0196875,2.0,9.030476,11.030476,2.997302,6.3038,37816.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_adaptive_escape,uniform_random,0.06,0.03,19200.0,19131.0,19119.0,0.99640625,0.9993727458052376,0.0298734375,2.0,9.05743,11.05743,3.000889,9.5649,57397.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_adaptive_escape,uniform_random,0.08,0.04,25600.0,25513.0,25491.0,0.9966015625,0.9991376945086818,0.0398296875,2.0,9.076733,11.076733,2.999608,12.7516,76509.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_adaptive_escape,uniform_random,0.1,0.05,32000.0,31970.0,31933.0,0.9990625,0.998842664998436,0.0498953125,2.0,9.113832,11.113832,3.008393,16.0022,96112.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_adaptive_escape,uniform_random,0.12,0.06,38400.0,38312.0,38265.0,0.9977083333333333,0.9987732303194822,0.0597890625,2.0,9.134013,11.134013,3.011551,19.1907,115329.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_adaptive_escape,uniform_random,0.14,0.07,44800.00000000001,44515.0,44477.0,0.9936383928571427,0.9991463551611817,0.0694953125,2.0,9.118825,11.118825,2.995121,22.2287,133293.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_adaptive_escape,uniform_random,0.16,0.08,51200.0,50920.0,50871.0,0.99453125,0.999037706205813,0.0794859375,2.0,9.149437,11.149437,3.000334,25.4525,152729.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_adaptive_escape,uniform_random,0.18,0.09,57600.0,57428.0,57373.0,0.9970138888888889,0.999042279027652,0.0896453125,2.0,9.179841,11.179841,3.006153,28.7386,172578.0,0.0,0.0,0.0,10000.0,2000000000.0
